gender,year,ending,counts,prop
F,1916,x,20,1.9152520136480858e-05
F,1916,y,126619,0.1212536473580535
F,1916,z,2190,0.002097200954944654
F,1917,a,279747,0.2587389497167021
F,1917,b,11,1.0173937332245647e-05
F,1917,d,19940,0.018442573673179835
F,1917,e,335945,0.31071667064375125
F,1917,g,198,0.00018313087198042164
F,1917,h,57330,0.05302471156887663
F,1917,i,2086,0.001929348479551311
F,1917,k,183,0.00016925732107281395
F,1917,l,38400,0.03551629032347571
F,1917,m,2008,0.0018572060148317508
F,1917,n,103993,0.0961834786356565
F,1917,o,2964,0.0027414136593432816
F,1917,p,8,7.399227150724107e-06
F,1917,r,16592,0.015345997110601797
F,1917,s,50778,0.046964744532433586
F,1917,t,34552,0.031957262063977414
F,1917,u,576,0.0005327443548521357
F,1917,w,33,3.052181199673694e-05
F,1917,x,32,2.959690860289643e-05
F,1917,y,133608,0.1235744926442433
F,1917,z,2210,0.0020440365003875343
F,1918,a,297646,0.25712669048061265
F,1918,b,10,8.638674481787514e-06
F,1918,c,15,1.295801172268127e-05
F,1918,d,21092,0.018220692216986228
F,1918,e,357952,0.30922308081048044
F,1918,g,232,0.00020041724797747036
F,1918,h,60912,0.05261989400346411
F,1918,i,2179,0.0018823671695814995
F,1918,k,149,0.00012871624977863397
F,1918,l,41228,0.035615527153513564
F,1918,m,2122,0.0018331267250353107
F,1918,n,111408,0.09624174466669834
F,1918,o,3097,0.002675397487009593
F,1918,p,18,1.5549614067217525e-05
F,1918,r,17620,0.0152213444369096
F,1918,s,56379,0.04870398286086983
F,1918,t,36950,0.03191990221020487
F,1918,u,673,0.0005813827926242997
